time,chunk_idx,win_idx,sqa_score,sqa_pass,prob_normal,chunk_label,chunk_prob_normal
2026-03-22 23:12:46,10,3,0.5323,False,,Abnormal,0.0038
2026-03-22 23:12:46,10,4,0.9997,True,0.0005,Abnormal,0.0038
2026-03-22 23:12:46,10,5,0.9999,True,0.0033,Abnormal,0.0038
2026-03-22 23:12:46,10,6,0.8996,True,0.0231,Abnormal,0.0038
2026-03-22 23:12:46,10,7,0.5687,False,,Abnormal,0.0038
2026-03-22 23:12:46,10,8,0.8066,True,0.0131,Abnormal,0.0038
2026-03-22 23:12:46,10,9,0.2285,False,,Abnormal,0.0038
2026-03-22 23:12:46,10,10,0.9679,True,0.0015,Abnormal,0.0038
2026-03-22 23:12:46,10,11,0.9883,True,0.0014,Abnormal,0.0038
2026-03-22 23:12:46,10,12,0.9974,True,0.0010,Abnormal,0.0038
2026-03-22 23:12:46,10,13,0.9714,True,0.0043,Abnormal,0.0038
2026-03-22 23:12:46,10,14,0.5517,False,,Abnormal,0.0038
2026-03-22 23:12:46,10,15,0.8855,True,0.0023,Abnormal,0.0038
2026-03-22 23:12:46,10,16,0.9827,True,0.0030,Abnormal,0.0038
2026-03-22 23:12:46,10,17,0.9998,True,0.0005,Abnormal,0.0038
2026-03-22 23:12:46,10,18,1.0000,True,0.0033,Abnormal,0.0038
2026-03-22 23:12:46,10,19,0.9977,True,0.0006,Abnormal,0.0038
